Tarih,Saat,Ihlal_Turu
2025-12-14,06:27:30,YORGUNLUK (UYUMA)
2025-12-14,06:27:30,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:30,YORGUNLUK (UYUMA)
2025-12-14,06:27:30,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:30,YORGUNLUK (UYUMA)
2025-12-14,06:27:31,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:31,YORGUNLUK (UYUMA)
2025-12-14,06:27:31,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:31,YORGUNLUK (UYUMA)
2025-12-14,06:27:31,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:31,YORGUNLUK (UYUMA)
2025-12-14,06:27:31,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:31,YORGUNLUK (UYUMA)
2025-12-14,06:27:31,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:31,YORGUNLUK (UYUMA)
2025-12-14,06:27:31,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:31,YORGUNLUK (UYUMA)
2025-12-14,06:27:31,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:31,YORGUNLUK (UYUMA)
2025-12-14,06:27:31,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:31,YORGUNLUK (UYUMA)
2025-12-14,06:27:31,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:31,YORGUNLUK (UYUMA)
2025-12-14,06:27:31,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:31,YORGUNLUK (UYUMA)
2025-12-14,06:27:31,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:31,YORGUNLUK (UYUMA)
2025-12-14,06:27:31,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:31,YORGUNLUK (UYUMA)
2025-12-14,06:27:31,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:31,YORGUNLUK (UYUMA)
2025-12-14,06:27:31,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:31,YORGUNLUK (UYUMA)
2025-12-14,06:27:31,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:31,YORGUNLUK (UYUMA)
2025-12-14,06:27:31,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:31,YORGUNLUK (UYUMA)
2025-12-14,06:27:31,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:31,YORGUNLUK (UYUMA)
2025-12-14,06:27:31,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:31,YORGUNLUK (UYUMA)
2025-12-14,06:27:31,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:32,YORGUNLUK (UYUMA)
2025-12-14,06:27:32,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:32,YORGUNLUK (UYUMA)
2025-12-14,06:27:32,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:32,YORGUNLUK (UYUMA)
2025-12-14,06:27:32,DIKKAT DAGINIKLIGI (TELEFON)
2025-12-14,06:27:32,YORGUNLUK (UYUMA)
