Tarih,Saat,Ihlal_Turu
2025-12-18,16:29:37,YORGUNLUK (UYUMA)
2025-12-18,16:29:38,YORGUNLUK (UYUMA)
2025-12-18,16:29:53,YORGUNLUK (UYUMA)
2025-12-18,16:29:54,YORGUNLUK (UYUMA)
2025-12-18,16:30:08,DIKKAT (TELEFON)
2025-12-18,16:30:10,DIKKAT (TELEFON)
2025-12-18,16:30:11,DIKKAT (TELEFON)
2025-12-18,16:30:12,DIKKAT (TELEFON)
2025-12-18,16:30:14,DIKKAT (TELEFON)
2025-12-18,16:30:15,DIKKAT (TELEFON)
2025-12-18,16:30:22,DIKKAT (TELEFON)
2025-12-18,16:30:23,DIKKAT (TELEFON)
2025-12-18,16:30:24,DIKKAT (TELEFON)
2025-12-18,16:30:26,DIKKAT (TELEFON)
