Tarih,Saat,Ihlal_Turu
2025-12-14,06:37:25,YORGUNLUK (UYUMA)
2025-12-14,06:37:26,YORGUNLUK (UYUMA)
2025-12-14,06:37:30,YORGUNLUK (UYUMA)
2025-12-14,06:37:32,YORGUNLUK (UYUMA)
2025-12-14,06:37:33,YORGUNLUK (UYUMA)
2025-12-14,06:37:35,YORGUNLUK (UYUMA)
2025-12-14,06:37:36,YORGUNLUK (UYUMA)
2025-12-14,06:37:37,YORGUNLUK (UYUMA)
2025-12-14,06:37:48,YORGUNLUK (UYUMA)
2025-12-14,06:37:49,YORGUNLUK (UYUMA)
2025-12-14,06:37:50,YORGUNLUK (UYUMA)
2025-12-14,06:37:51,YORGUNLUK (UYUMA)
2025-12-14,06:37:53,YORGUNLUK (UYUMA)
2025-12-14,06:37:54,YORGUNLUK (UYUMA)
2025-12-14,06:38:06,YORGUNLUK (UYUMA)
2025-12-14,06:38:07,YORGUNLUK (UYUMA)
2025-12-14,06:38:08,YORGUNLUK (UYUMA)
2025-12-14,06:38:09,YORGUNLUK (UYUMA)
2025-12-14,06:38:22,YORGUNLUK (UYUMA)
2025-12-14,06:38:23,YORGUNLUK (UYUMA)
2025-12-14,06:38:28,YORGUNLUK (UYUMA)
2025-12-14,06:38:32,DIKKAT (TELEFON)
2025-12-14,06:38:33,DIKKAT (TELEFON)
2025-12-14,06:38:35,DIKKAT (TELEFON)
2025-12-14,06:38:35,YORGUNLUK (UYUMA)
2025-12-14,06:38:36,YORGUNLUK (UYUMA)
2025-12-14,06:38:37,YORGUNLUK (UYUMA)
2025-12-14,06:38:38,YORGUNLUK (UYUMA)
2025-12-14,06:38:39,YORGUNLUK (UYUMA)
2025-12-14,06:38:40,YORGUNLUK (UYUMA)
2025-12-14,06:38:43,YORGUNLUK (UYUMA)
2025-12-14,06:38:44,YORGUNLUK (UYUMA)
2025-12-14,06:38:46,YORGUNLUK (UYUMA)
2025-12-14,06:38:47,YORGUNLUK (UYUMA)
2025-12-14,06:38:48,YORGUNLUK (UYUMA)
2025-12-14,06:38:49,YORGUNLUK (UYUMA)
2025-12-14,06:38:50,YORGUNLUK (UYUMA)
2025-12-14,06:38:51,YORGUNLUK (UYUMA)
2025-12-14,06:38:52,YORGUNLUK (UYUMA)
2025-12-14,06:38:53,YORGUNLUK (UYUMA)
2025-12-14,06:38:54,YORGUNLUK (UYUMA)
2025-12-14,06:39:14,DIKKAT (TELEFON)
2025-12-14,06:39:15,DIKKAT (TELEFON)
2025-12-14,06:39:20,YORGUNLUK (UYUMA)
