Tarih,Saat,Ihlal_Turu
2025-12-14,07:25:35,DIKKAT (TELEFON)
2025-12-14,07:25:39,DIKKAT (TELEFON)
2025-12-14,07:25:40,DIKKAT (TELEFON)
2025-12-14,07:25:50,DIKKAT (TELEFON)
2025-12-14,07:25:51,DIKKAT (TELEFON)
2025-12-14,07:26:00,DIKKAT (TELEFON)
2025-12-14,07:26:11,DIKKAT (TELEFON)
2025-12-14,07:26:12,DIKKAT (TELEFON)
2025-12-14,07:26:13,DIKKAT (TELEFON)
2025-12-14,07:26:50,YORGUNLUK (UYUMA)
2025-12-14,07:26:54,YORGUNLUK (UYUMA)
2025-12-14,07:26:55,YORGUNLUK (UYUMA)
2025-12-14,07:26:58,YORGUNLUK (UYUMA)
2025-12-14,07:26:59,YORGUNLUK (UYUMA)
2025-12-14,07:27:08,YORGUNLUK (UYUMA)
2025-12-14,07:27:09,YORGUNLUK (UYUMA)
2025-12-14,07:27:37,YORGUNLUK (UYUMA)
2025-12-14,07:27:38,YORGUNLUK (UYUMA)
2025-12-14,07:27:39,YORGUNLUK (UYUMA)
2025-12-14,07:27:51,YORGUNLUK (UYUMA)
2025-12-14,07:27:52,YORGUNLUK (UYUMA)
2025-12-14,07:28:02,YORGUNLUK (UYUMA)
2025-12-14,07:28:05,YORGUNLUK (UYUMA)
2025-12-14,07:28:06,YORGUNLUK (UYUMA)
2025-12-14,07:28:14,YORGUNLUK (UYUMA)
2025-12-14,07:28:15,YORGUNLUK (UYUMA)
2025-12-14,07:28:52,YORGUNLUK (UYUMA)
2025-12-14,07:28:53,YORGUNLUK (UYUMA)
2025-12-14,07:28:54,YORGUNLUK (UYUMA)
2025-12-14,07:28:55,YORGUNLUK (UYUMA)
2025-12-14,07:28:56,YORGUNLUK (UYUMA)
2025-12-14,07:29:05,YORGUNLUK (UYUMA)
2025-12-14,07:29:06,YORGUNLUK (UYUMA)
2025-12-14,07:29:06,DIKKAT (TELEFON)
2025-12-14,07:29:06,YORGUNLUK (UYUMA)
2025-12-14,07:29:06,DIKKAT (TELEFON)
2025-12-14,07:29:06,YORGUNLUK (UYUMA)
2025-12-14,07:29:06,DIKKAT (TELEFON)
2025-12-14,07:29:07,YORGUNLUK (UYUMA)
2025-12-14,07:29:07,DIKKAT (TELEFON)
2025-12-14,07:29:07,YORGUNLUK (UYUMA)
2025-12-14,07:29:07,DIKKAT (TELEFON)
2025-12-14,07:29:07,YORGUNLUK (UYUMA)
2025-12-14,07:29:08,YORGUNLUK (UYUMA)
2025-12-14,07:29:19,DIKKAT (TELEFON)
2025-12-14,07:29:20,DIKKAT (TELEFON)
